Time,ParticleCount
10:10,370.01
10:12,324.92
10:15,474.36
10:18,31.79
10:21,490.75
10:24,3.59
10:27,219.30
10:30,172.37
10:33,221.74
10:35,23.14
10:38,130.76
10:41,350.50
10:44,275.42
10:47,160.50
10:50,168.88
10:53,274.55
10:56,123.21
10:58,29.46
11:01,58.61
11:04,249.74
11:07,55.84
11:10,473.09
11:13,277.77
11:16,174.67
11:19,98.06
11:22,346.71
11:24,324.71
11:27,349.95
11:30,3.19
11:33,35.55
11:36,358.96
11:39,57.16
11:42,207.54
11:45,481.10
11:47,86.90
11:50,432.23
11:53,258.45
11:56,378.42
11:59,3.71
12:02,209.33
12:05,333.95
12:08,313.61
12:10,243.47
12:13,339.66
12:16,497.19
12:19,408.66
12:22,164.71
12:25,75.53
12:28,84.22
12:31,218.04
12:34,188.64
12:36,118.67
12:39,455.74
12:42,189.37
12:45,379.07
12:48,479.76
12:51,338.53
12:54,391.85
12:57,15.38
12:59,207.51
13:02,486.92
13:05,160.68
13:08,310.19
13:11,269.80
13:14,133.07
13:17,390.39
13:20,334.22
13:22,60.73
13:25,396.99
13:28,326.81
13:31,322.02
13:34,307.75
13:37,200.24
13:40,216.28
13:43,447.28
13:46,158.44
13:48,458.83
13:51,424.40
13:54,427.04
13:57,495.12
14:00,333.29
14:03,388.10
14:06,68.08
14:09,168.21
14:11,18.17
14:14,93.42
14:17,382.74
14:20,488.18
14:23,265.22
14:26,80.65
14:29,410.98
14:32,316.36
14:34,23.34
14:37,231.21
14:40,372.72
14:43,287.23
14:46,261.42
14:49,335.08
14:52,417.83
14:55,108.06
14:58,478.65
15:00,484.79
15:03,259.94
15:06,77.87
15:09,189.74
15:12,263.56
15:15,36.85
15:18,315.36
15:21,450.53
15:23,150.96
15:26,45.14
15:29,136.82
15:32,317.23
15:35,496.97
15:38,98.95
15:41,124.49
15:44,91.86
15:46,270.49
15:49,191.41
15:52,278.15
15:55,427.72
15:58,7.13
16:01,39.54
16:04,299.68
16:07,276.80
16:10,383.58
16:12,373.58
16:15,341.08
16:18,274.68
16:21,112.27
16:24,335.81
16:27,149.23
16:30,418.46
16:33,491.16
16:35,398.40
16:38,452.39
16:41,120.18
16:44,285.99
16:47,352.03
16:50,257.47
16:53,416.07
16:56,378.23
16:58,252.29
17:01,168.11
17:04,298.37
17:07,358.73
17:10,361.75
17:13,77.88
17:16,450.46
17:19,201.08
17:22,401.58
17:24,291.66
17:27,178.01
17:30,349.39
17:33,162.75
17:36,328.60
17:39,7.50
17:42,371.79
17:45,186.59
17:47,204.33
17:50,276.49
17:53,428.60
17:56,131.77
17:59,123.20
18:02,164.05
18:05,287.65
18:08,318.24
18:10,286.13
18:13,326.37
18:16,336.92
18:19,307.27
18:22,423.04
18:25,160.53
18:28,471.48
18:31,365.99
18:34,167.64
18:36,468.05
18:39,471.56
18:42,409.39
18:45,320.26
18:48,353.14
18:51,435.85
18:54,120.49
18:57,499.90
18:59,216.07
19:02,493.77
19:05,202.80
19:08,364.85
19:11,123.73
19:14,435.02
19:17,169.19
19:20,69.17
19:22,143.13
19:25,464.19
19:28,216.67
19:31,457.46
19:34,334.26
19:37,353.56
19:40,322.27
19:43,227.77
19:46,229.54
19:48,312.79
19:51,375.86
19:54,21.14
19:57,225.46
20:00,186.10
20:03,29.96
20:06,27.36
20:09,205.05
20:11,345.37
20:14,366.55
20:17,88.14
20:20,142.30
20:23,222.49
20:26,38.40
20:29,444.18
20:32,326.10
20:34,254.62
20:37,117.70
20:40,81.29
20:43,255.22
20:46,428.79
20:49,358.09
20:52,284.07
20:55,332.44
20:58,455.29
21:00,214.51
21:03,326.44
21:06,21.73
21:09,83.53
21:12,348.04
21:15,20.36
21:18,496.42
21:21,210.82
21:23,137.99
21:26,216.44
21:29,492.46
21:32,48.91
21:35,98.58
21:38,431.54
21:41,120.42
21:44,82.60
21:46,23.16
21:49,5.89
21:52,253.12
21:55,191.96
21:58,496.95
22:01,464.28
22:04,170.62
22:07,154.04
22:10,383.56
22:12,126.97
22:15,331.05
22:18,230.40
22:21,398.65
22:24,191.86
22:27,58.21
22:30,241.31
22:33,225.59
22:35,251.33
22:38,185.27
22:41,0.16
22:44,38.81
22:47,72.67
22:50,258.28
22:53,142.36
22:56,32.41
22:58,216.33
23:01,214.82
23:04,262.77
23:07,432.36
23:10,50.29
23:13,440.85
23:16,310.76
23:19,240.44
23:22,253.90
23:24,92.26
23:27,263.26
23:30,460.92
23:33,30.20
23:36,312.53
23:39,434.32
23:42,105.41
23:45,108.47
23:47,364.06
23:50,397.17
23:53,81.71
23:56,275.14
23:59,150.15
00:02,233.07
00:05,73.88
00:08,212.74
00:10,19.53
00:13,250.76
00:16,161.45
00:19,195.42
00:22,447.53
00:25,206.43
00:28,161.31
00:31,481.09
00:34,69.78
00:36,205.44
00:39,129.22
00:42,322.93
00:45,340.98
00:48,264.12
00:51,267.52
00:54,165.20
00:57,444.93
00:59,107.70
01:02,198.18
01:05,104.39
01:08,147.43
01:11,205.53
01:14,30.38
01:17,12.24
01:20,97.85
01:22,220.20
01:25,178.46
01:28,474.19
01:31,316.98
01:34,316.44
01:37,422.41
01:40,259.87
01:43,80.00
01:46,247.67
01:48,106.74
01:51,255.79
01:54,387.91
01:57,422.14
02:00,416.98
02:03,248.29
02:06,332.98
02:09,32.95
02:11,90.58
02:14,315.30
02:17,482.69
02:20,375.63
02:23,36.78
02:26,331.38
02:29,473.83
02:32,9.58
02:34,320.03
02:37,449.70
02:40,246.20
02:43,452.61
02:46,259.86
02:49,208.45
02:52,159.46
02:55,291.71
02:58,399.46
03:00,60.23
03:03,19.90
03:06,374.31
03:09,376.85
03:12,0.64
03:15,84.93
03:18,228.19
03:21,15.27
03:23,139.44
03:26,118.09
03:29,111.91
03:32,218.38
03:35,136.33
03:38,2.04
03:41,336.82
03:44,46.35
03:46,426.89
03:49,176.03
03:52,472.58
03:55,285.81
03:58,447.87
04:01,289.79
04:04,405.16
04:07,347.05
04:10,415.75
04:12,302.64
04:15,438.68
04:18,323.51
