Time,Pressure (10^-12 Pa)
10:10,15
10:12,66
10:15,71
10:18,7
10:21,9
10:24,18
10:27,62
10:30,55
10:33,99
10:35,39
10:38,96
10:41,45
10:44,9
10:47,7
10:50,67
10:53,4
10:56,59
10:58,99
11:01,66
11:04,9
11:07,61
11:10,92
11:13,6
11:16,33
11:19,20
11:22,82
11:24,45
11:27,26
11:30,79
11:33,42
11:36,94
11:39,94
11:42,33
11:45,100
11:47,44
11:50,60
11:53,77
11:56,82
11:59,74
12:02,80
12:05,94
12:08,86
12:10,14
12:13,62
12:16,16
12:19,10
12:22,51
12:25,65
12:28,23
12:31,11
12:34,93
12:36,14
12:39,28
12:42,29
12:45,12
12:48,84
12:51,50
12:54,96
12:57,6
12:59,82
13:02,56
13:05,72
13:08,77
13:11,75
13:14,82
13:17,47
13:20,65
13:22,86
13:25,36
13:28,23
13:31,67
13:34,53
13:37,30
13:40,7
13:43,14
13:46,95
13:48,22
13:51,26
13:54,88
13:57,21
14:00,12
14:03,19
14:06,13
14:09,86
14:11,40
14:14,79
14:17,64
14:20,75
14:23,63
14:26,79
14:29,93
14:32,90
14:34,46
14:37,23
14:40,2
14:43,29
14:46,31
14:49,10
14:52,86
14:55,67
14:58,65
15:00,16
15:03,76
15:06,32
15:09,35
15:12,34
15:15,92
15:18,76
15:21,48
15:23,12
15:26,74
15:29,51
15:32,93
15:35,34
15:38,81
15:41,56
15:44,21
15:46,91
15:49,38
15:52,2
15:55,28
15:58,40
16:01,61
16:04,59
16:07,19
16:10,5
16:12,1
16:15,16
16:18,38
16:21,29
16:24,21
16:27,58
16:30,93
16:33,92
16:35,35
16:38,58
16:41,24
16:44,15
16:47,92
16:50,84
16:53,27
16:56,62
16:58,48
17:01,20
17:04,21
17:07,85
17:10,18
17:13,66
17:16,70
17:19,30
17:22,96
17:24,34
17:27,79
17:30,38
17:33,56
17:36,97
17:39,83
17:42,31
17:45,97
17:47,14
17:50,97
17:53,15
17:56,42
17:59,1
18:02,10
18:05,88
18:08,56
18:10,94
18:13,41
18:16,3
18:19,19
18:22,32
18:25,45
18:28,10
18:31,21
18:34,30
18:36,87
18:39,93
18:42,7
18:45,6
18:48,100
18:51,86
18:54,82
18:57,48
18:59,38
19:02,26
19:05,8
19:08,88
19:11,97
19:14,51
19:17,34
19:20,20
19:22,49
19:25,86
19:28,68
19:31,23
19:34,29
19:37,3
19:40,74
19:43,30
19:46,26
19:48,99
19:51,15
19:54,62
19:57,1
20:00,12
20:03,17
20:06,37
20:09,86
20:11,68
20:14,82
20:17,9
20:20,86
