Time,Band_380nm,Band_424nm,Band_468nm,Band_513nm,Band_557nm,Band_602nm,Band_646nm,Band_691nm,Band_735nm,Band_780nm
10:11,488.7,48.0,2.3,403.9,64.3,480.7,234.7,117.3,486.8,587.2
10:13,53.3,193.4,964.1,900.4,577.6,592.5,319.4,559.8,705.7,594.7
10:16,324.1,892.2,314.3,59.8,193.7,588.1,498.7,350.4,978.5,876.0
10:19,240.9,239.6,465.3,572.0,754.5,966.6,229.9,226.6,24.5,378.8
10:22,401.3,735.9,236.5,913.4,359.5,302.3,922.4,722.2,411.0,899.7
10:25,608.5,389.5,48.7,219.9,390.5,7.3,668.5,302.0,603.3,476.6
10:28,101.1,787.1,560.8,147.1,772.9,794.8,676.1,248.6,584.9,619.6
10:31,803.8,359.2,581.6,398.3,434.3,398.8,121.8,631.0,439.0,112.4
10:34,700.6,975.3,7.7,394.0,882.4,421.7,133.9,352.5,800.5,40.3
10:36,151.4,655.5,944.2,144.8,801.1,379.9,485.2,896.1,704.6,634.5
10:39,256.4,857.1,253.9,443.5,866.6,756.9,87.9,796.3,623.1,800.4
10:42,752.8,284.5,570.0,866.8,259.1,919.7,722.9,178.5,139.9,446.2
10:45,104.1,289.0,483.0,561.3,230.4,619.0,844.2,138.4,231.7,313.6
10:48,516.3,219.7,472.0,824.2,956.0,924.4,165.4,115.1,520.2,576.4
10:51,436.1,55.6,321.8,309.3,836.0,957.1,841.6,109.2,993.3,759.7
10:54,317.8,337.6,593.5,857.9,264.6,835.5,12.6,125.9,757.5,449.7
10:57,354.2,108.4,432.6,249.8,162.3,823.8,397.7,521.1,328.1,173.2
10:59,241.2,100.2,413.5,671.5,331.0,990.0,500.1,683.4,719.7,798.4
11:02,211.2,937.1,764.7,658.3,399.8,379.2,291.1,458.2,672.9,153.3
11:05,5.6,726.6,994.3,809.0,234.0,141.1,908.5,659.8,349.5,232.1
11:08,611.6,647.8,586.0,74.3,413.6,207.6,357.3,299.6,570.3,675.6
11:11,449.7,341.2,839.1,602.7,482.1,547.6,378.7,865.7,730.8,888.8
11:14,336.0,337.0,626.9,924.6,961.7,745.9,121.8,726.3,680.9,890.2
11:17,225.2,735.5,426.4,955.9,993.0,732.1,623.1,776.1,978.8,398.9
11:20,522.2,24.6,995.0,251.1,784.8,965.9,250.7,669.4,515.9,730.6
11:23,113.1,439.7,345.2,944.6,748.3,232.3,614.3,99.5,413.3,935.5
11:25,186.6,587.5,395.7,3.3,378.8,622.9,142.2,112.7,717.6,716.6
11:28,350.7,17.7,314.2,151.6,949.0,153.9,593.1,920.1,812.6,567.9
11:31,126.0,70.5,389.3,238.4,976.0,916.6,345.9,693.7,344.2,680.1
11:34,809.8,611.6,444.6,925.5,454.7,251.6,649.5,721.8,459.7,881.9
11:37,530.4,669.3,641.6,145.5,247.4,846.4,476.7,797.1,203.9,577.1
11:40,55.7,861.1,374.2,165.0,320.3,824.3,494.9,626.5,810.0,614.2
11:43,52.4,972.0,947.7,392.1,597.0,838.2,213.8,97.9,643.2,127.7
11:46,590.5,175.6,217.6,525.5,984.6,332.4,861.3,225.1,739.3,602.8
