Time,Pressure (10^-12 Pa)
10:10,6
10:12,40
10:15,32
10:18,66
10:21,98
10:24,41
10:27,52
10:30,68
10:33,24
10:35,74
10:38,95
10:41,67
10:44,89
10:47,69
10:50,20
10:53,32
10:56,35
10:58,63
11:01,20
11:04,5
11:07,86
11:10,22
11:13,48
11:16,50
11:19,30
11:22,2
11:24,70
11:27,85
11:30,50
11:33,39
11:36,11
11:39,33
11:42,42
11:45,36
11:47,61
11:50,37
11:53,15
11:56,44
11:59,83
12:02,12
12:05,13
12:08,7
12:10,53
12:13,83
12:16,5
12:19,54
12:22,70
12:25,4
12:28,53
12:31,70
12:34,70
12:36,21
12:39,64
12:42,13
12:45,84
12:48,69
12:51,45
12:54,21
12:57,16
12:59,69
13:02,13
13:05,40
13:08,37
13:11,91
13:14,72
13:17,85
13:20,48
13:22,41
13:25,38
13:28,65
13:31,74
13:34,76
13:37,40
13:40,24
13:43,76
13:46,70
13:48,1
13:51,23
13:54,46
13:57,22
14:00,87
14:03,44
14:06,90
14:09,32
14:11,54
14:14,38
14:17,57
14:20,51
14:23,85
14:26,69
14:29,3
14:32,37
14:34,5
14:37,84
14:40,69
14:43,17
14:46,4
14:49,45
14:52,73
14:55,21
14:58,49
15:00,41
15:03,86
15:06,59
15:09,4
15:12,26
15:15,80
15:18,22
15:21,38
15:23,62
15:26,94
15:29,78
15:32,17
15:35,86
15:38,37
15:41,61
15:44,88
15:46,97
15:49,10
15:52,87
15:55,35
15:58,13
16:01,88
16:04,93
16:07,80
16:10,50
16:12,75
16:15,76
16:18,85
16:21,84
16:24,100
16:27,92
16:30,45
16:33,75
16:35,18
16:38,74
16:41,25
16:44,37
16:47,22
16:50,67
16:53,59
16:56,4
16:58,85
17:01,63
17:04,100
17:07,7
17:10,91
17:13,46
17:16,18
17:19,8
17:22,58
17:24,44
17:27,42
17:30,81
17:33,96
17:36,55
17:39,68
17:42,36
17:45,50
17:47,31
17:50,59
17:53,12
17:56,68
17:59,42
18:02,9
18:05,100
18:08,57
