Time,Band_380nm,Band_424nm,Band_468nm,Band_513nm,Band_557nm,Band_602nm,Band_646nm,Band_691nm,Band_735nm,Band_780nm
10:10,712.8,428.2,776.4,413.8,149.6,833.8,359.6,506.9,613.5,953.3
10:12,105.1,893.8,335.2,991.5,349.0,293.9,476.6,103.7,803.7,808.1
10:15,500.3,244.5,888.9,570.8,243.8,155.0,883.9,678.0,527.4,245.7
10:18,164.4,228.1,378.8,387.3,879.9,24.3,431.7,649.0,850.2,134.2
10:21,472.0,732.4,35.8,964.6,712.4,268.2,695.9,159.6,31.3,195.3
10:24,136.8,297.5,222.2,241.5,490.4,189.7,185.6,960.1,256.8,950.6
10:27,710.2,43.3,342.2,126.7,56.7,391.8,294.8,587.0,667.3,656.8
10:30,187.5,527.3,595.1,732.9,48.4,962.5,75.7,129.2,987.6,569.7
10:33,977.8,250.6,786.9,264.2,547.0,108.1,146.5,963.6,498.0,583.5
10:35,258.6,120.8,705.1,787.6,901.6,878.8,315.3,533.2,427.1,11.7
10:38,792.0,433.7,631.0,916.4,75.7,824.3,126.4,609.7,708.0,263.9
10:41,515.6,801.0,864.6,529.8,274.0,426.0,975.4,74.7,360.3,483.8
10:44,981.9,188.3,339.3,158.6,139.5,471.7,283.9,912.2,689.2,449.2
10:47,848.1,297.9,764.8,351.6,984.5,687.4,0.6,12.7,765.8,214.8
10:50,885.4,353.2,837.1,777.3,224.0,350.3,549.7,441.5,370.2,47.8
10:53,892.9,566.3,449.8,648.6,551.8,706.7,512.0,702.1,388.9,307.4
10:56,183.8,763.3,728.9,0.3,614.1,598.8,470.3,735.0,804.4,335.4
10:58,627.0,373.0,112.0,498.1,471.9,931.1,972.3,970.2,504.2,341.3
11:01,398.2,533.9,587.3,339.4,512.9,668.8,926.0,609.8,352.3,808.9
11:04,852.4,964.3,466.2,394.6,655.9,447.0,161.5,839.0,666.0,814.0
11:07,798.1,32.1,418.2,653.5,834.9,695.1,959.2,161.7,601.6,434.7
11:10,406.4,225.9,840.0,916.6,281.7,716.5,363.7,984.0,385.2,545.7
11:13,935.7,482.6,842.9,323.1,945.9,358.2,976.2,65.9,671.6,768.5
11:16,855.1,537.4,719.0,970.4,272.6,815.9,350.0,456.0,536.1,598.3
11:19,711.2,456.2,133.6,914.9,552.7,520.6,671.0,202.6,610.4,975.4
11:22,492.2,859.4,964.9,181.4,99.4,743.7,201.2,283.1,861.1,488.3
11:24,641.6,786.3,303.5,225.1,821.2,20.6,8.3,788.8,167.2,432.9
11:27,175.4,512.7,399.0,281.0,799.7,201.7,838.3,46.8,682.8,246.4
11:30,655.3,849.1,461.8,323.3,715.5,939.3,902.2,565.9,233.4,260.4
11:33,177.7,24.2,188.5,448.3,846.7,49.5,766.5,49.7,110.7,524.8
11:36,876.9,671.0,889.1,862.6,712.4,753.4,916.3,491.2,765.3,418.0
11:39,925.5,480.2,721.2,994.6,419.5,993.4,368.9,815.0,172.4,359.5
11:42,402.0,672.2,658.5,214.8,672.9,342.0,703.7,283.6,758.1,678.1
11:45,115.5,229.5,316.3,681.2,330.8,675.3,732.0,732.1,559.8,320.4
11:47,105.6,982.7,102.9,718.7,813.5,942.3,502.3,285.4,891.0,782.8
11:50,990.4,265.6,103.6,61.3,256.7,403.3,387.4,450.4,29.8,444.3
11:53,445.7,424.8,716.7,103.5,996.7,9.0,419.2,9.7,376.3,94.1
11:56,181.0,784.9,6.9,390.4,900.3,741.2,540.5,848.3,309.0,974.5
11:59,692.2,185.3,282.8,586.8,678.9,86.4,705.4,790.0,281.6,95.4
12:02,705.8,705.1,476.4,953.9,716.9,222.3,178.4,636.4,21.4,603.3
12:05,878.0,588.3,155.0,568.8,520.3,736.9,406.5,454.2,60.1,959.5
12:08,166.3,401.7,3.6,585.8,273.3,438.0,969.7,822.2,117.9,747.1
12:10,422.9,341.3,571.4,860.1,44.8,307.0,388.4,73.1,784.8,180.9
12:13,983.2,807.0,361.2,761.4,553.4,291.6,132.3,176.6,275.5,167.8
12:16,580.9,973.1,277.9,156.9,337.4,926.8,828.4,986.1,26.5,87.6
12:19,370.9,394.2,471.1,953.0,641.3,13.3,142.9,952.7,919.5,898.3
12:22,125.2,588.1,24.7,400.3,748.5,670.2,419.8,259.5,150.1,176.3
12:25,8.8,266.2,878.5,952.2,65.4,505.8,690.3,114.8,289.5,625.2
12:28,652.8,943.2,545.8,244.6,668.5,737.2,120.2,895.6,62.4,201.2
12:31,173.3,734.3,667.1,282.8,606.4,25.9,845.2,85.8,892.6,477.9
12:34,455.7,88.3,93.4,32.0,517.3,693.7,702.3,974.1,193.9,438.0
12:36,636.4,728.3,601.2,116.2,712.8,590.4,337.4,612.1,726.7,636.2
12:39,310.9,215.4,821.9,544.0,219.0,430.6,781.5,174.6,326.3,789.1
12:42,133.9,965.5,748.4,671.3,802.6,694.7,769.8,455.7,774.6,296.7
12:45,355.6,691.9,638.4,821.8,630.1,379.9,400.3,943.5,646.2,84.6
12:48,491.9,756.4,297.0,445.4,26.6,371.3,291.6,710.3,604.0,515.7
12:51,596.8,603.1,556.0,389.7,163.2,465.8,967.8,863.7,703.6,888.3
12:54,979.7,899.3,698.0,79.9,662.2,552.8,863.8,762.5,229.9,177.7
12:57,407.3,552.5,361.7,258.4,88.3,847.5,931.7,4.0,149.3,129.3
12:59,810.7,336.0,100.3,211.7,435.6,708.6,58.1,408.4,308.2,336.6
13:02,241.4,888.4,755.7,661.0,181.4,443.0,629.2,752.2,230.1,862.0
13:05,631.7,818.5,960.9,554.7,417.0,806.8,170.2,997.7,633.4,589.3
13:08,763.7,117.9,546.0,432.6,860.0,913.2,571.0,17.1,125.4,364.1
13:11,391.9,741.3,865.7,819.6,426.4,808.3,452.0,544.3,624.2,836.9
13:14,742.3,275.2,992.3,928.0,894.1,988.9,201.9,723.4,387.3,516.5
13:17,657.2,479.0,84.3,393.0,134.9,990.5,332.1,458.9,908.1,881.2
13:20,163.2,561.2,151.0,454.1,435.6,394.6,66.2,571.4,907.6,226.6
13:22,977.9,943.6,304.7,871.9,852.9,545.5,340.8,518.0,769.5,535.2
13:25,997.5,65.0,766.9,285.5,244.6,830.9,679.6,276.0,752.9,862.8
13:28,646.5,72.7,54.3,691.7,709.5,148.9,372.0,44.7,48.5,766.7
13:31,843.5,494.0,613.3,290.9,886.2,938.6,584.2,14.5,841.6,559.1
13:34,492.3,708.0,30.4,96.9,992.0,531.1,739.1,770.5,598.7,176.0
13:37,341.3,513.6,877.6,487.5,710.1,542.1,649.9,663.5,247.7,970.9
13:40,350.7,282.9,757.6,858.3,80.3,91.5,278.8,357.3,846.3,55.9
