Time,ParticleCount
11:06,234.74
11:08,454.63
11:11,496.32
11:14,15.32
11:17,171.80
11:20,156.61
11:23,2.28
11:26,216.20
11:29,34.77
11:31,290.07
11:34,319.57
11:37,139.27
11:40,328.92
11:43,233.38
11:46,267.35
11:49,316.95
11:52,366.27
11:54,428.82
11:57,212.61
12:00,57.83
12:03,137.80
12:06,295.49
12:09,395.35
12:12,350.78
12:15,331.71
12:18,385.50
12:20,270.30
12:23,292.46
12:26,207.14
12:29,286.36
12:32,138.06
12:35,248.36
12:38,115.58
12:41,45.66
12:43,429.30
12:46,77.33
12:49,224.82
12:52,477.21
12:55,296.22
12:58,347.50
13:01,395.77
13:04,187.14
13:06,245.56
13:09,257.99
13:12,433.64
13:15,13.80
13:18,491.02
13:21,419.66
13:24,117.03
13:27,14.18
13:30,486.34
13:32,483.74
13:35,445.43
13:38,444.63
13:41,248.15
13:44,235.42
13:47,182.96
13:50,395.44
13:53,31.19
13:55,461.59
13:58,497.73
14:01,451.90
14:04,437.20
14:07,171.71
14:10,112.58
14:13,345.05
14:16,317.50
14:18,223.29
14:21,319.38
14:24,391.62
14:27,284.51
14:30,323.53
14:33,323.81
14:36,282.07
14:39,95.27
14:42,462.51
14:44,365.65
14:47,449.72
14:50,316.60
14:53,381.37
14:56,329.47
14:59,448.32
15:02,170.87
15:05,182.35
15:07,363.74
15:10,78.21
15:13,284.08
15:16,143.38
15:19,480.08
15:22,483.43
15:25,344.77
15:28,145.10
15:30,153.24
15:33,29.99
15:36,439.64
15:39,310.89
15:42,288.27
15:45,408.58
15:48,17.08
15:51,145.62
15:54,498.31
15:56,193.09
15:59,153.43
16:02,317.38
16:05,196.82
16:08,75.61
16:11,255.75
16:14,389.22
16:17,434.65
16:19,480.12
16:22,195.59
16:25,154.11
16:28,443.98
16:31,198.20
16:34,411.94
16:37,119.39
16:40,180.75
16:42,262.33
16:45,396.28
16:48,13.11
16:51,1.96
16:54,376.08
16:57,28.75
17:00,109.38
17:03,267.02
17:06,304.03
17:08,273.58
17:11,196.21
17:14,79.46
17:17,280.55
17:20,455.68
17:23,18.43
17:26,55.71
17:29,292.18
17:31,168.53
17:34,414.94
17:37,285.15
17:40,96.84
17:43,0.05
17:46,192.55
17:49,3.88
17:52,3.63
17:54,445.25
17:57,387.55
18:00,165.98
18:03,284.96
18:06,311.81
18:09,321.34
18:12,28.06
18:15,35.59
18:18,288.28
18:20,264.78
18:23,490.39
18:26,17.99
18:29,300.34
18:32,448.43
18:35,412.57
18:38,204.63
18:41,264.95
18:43,115.33
18:46,327.77
18:49,100.05
18:52,75.75
18:55,209.87
18:58,425.64
19:01,8.47
19:04,144.05
19:06,409.66
19:09,116.82
19:12,115.92
19:15,471.19
19:18,137.86
19:21,497.56
19:24,35.37
19:27,172.57
19:30,499.52
19:32,323.19
19:35,491.23
19:38,443.74
19:41,292.41
19:44,152.82
19:47,108.60
19:50,293.90
19:53,456.21
19:55,347.40
19:58,369.94
20:01,380.54
20:04,120.01
20:07,6.35
20:10,78.18
20:13,25.11
20:16,340.11
20:18,188.72
20:21,205.64
20:24,324.01
20:27,432.55
20:30,163.83
20:33,82.90
20:36,313.47
20:39,362.85
20:42,255.21
20:44,311.97
20:47,54.31
20:50,269.24
20:53,380.40
20:56,414.22
20:59,258.48
21:02,436.44
21:05,256.07
21:07,178.74
21:10,222.51
21:13,109.01
21:16,316.42
21:19,180.21
21:22,489.24
21:25,3.01
21:28,498.51
21:30,98.98
21:33,323.96
21:36,270.12
21:39,172.59
21:42,173.33
21:45,163.50
21:48,317.81
21:51,469.02
21:54,219.89
21:56,126.82
21:59,138.40
22:02,130.23
22:05,371.14
22:08,460.06
22:11,159.65
22:14,230.91
22:17,6.07
22:19,307.81
22:22,22.44
22:25,452.46
22:28,325.71
22:31,290.45
22:34,86.24
22:37,393.71
22:40,359.23
22:42,348.43
22:45,377.33
22:48,398.16
22:51,474.59
22:54,178.09
22:57,209.95
23:00,270.90
23:03,333.95
23:06,44.35
23:08,375.31
23:11,407.34
23:14,350.72
23:17,335.59
23:20,350.82
23:23,453.03
23:26,63.08
23:29,422.89
23:31,427.87
23:34,225.67
23:37,8.79
23:40,270.94
23:43,430.17
23:46,428.45
23:49,112.48
23:52,5.33
23:54,42.33
23:57,1.69
00:00,271.15
00:03,406.38
00:06,346.75
00:09,297.48
00:12,324.91
00:15,493.33
00:18,229.09
00:20,60.31
00:23,40.92
00:26,407.13
00:29,427.30
00:32,174.60
00:35,479.97
00:38,26.77
00:41,41.70
00:43,422.07
00:46,312.31
00:49,77.83
00:52,68.09
00:55,35.86
00:58,476.11
01:01,336.36
01:04,43.72
01:06,323.27
01:09,417.32
01:12,335.61
01:15,151.68
01:18,417.87
01:21,197.35
01:24,214.66
01:27,175.90
01:30,22.20
01:32,50.93
01:35,278.06
01:38,136.72
01:41,170.29
01:44,138.68
01:47,23.07
01:50,254.01
