Time,ParticleCount
10:11,310.17
10:13,355.45
10:16,37.99
10:19,87.24
10:22,105.72
10:25,136.97
10:28,389.17
10:31,461.70
10:34,417.12
10:36,440.11
10:39,92.80
10:42,1.29
10:45,394.15
10:48,106.37
10:51,379.25
10:54,240.40
10:57,474.85
10:59,102.31
11:02,453.15
11:05,219.89
11:08,111.06
11:11,359.56
11:14,466.17
11:17,154.67
11:20,119.50
11:23,447.63
11:25,424.10
11:28,227.33
11:31,196.73
11:34,156.85
11:37,143.79
11:40,90.14
11:43,81.78
11:46,474.73
11:48,422.95
11:51,198.75
11:54,314.75
11:57,190.43
12:00,249.46
12:03,51.85
12:06,296.31
12:09,16.63
12:11,466.58
12:14,218.18
12:17,317.65
12:20,87.81
12:23,353.23
12:26,100.67
12:29,285.16
12:32,436.55
12:35,194.48
12:37,186.75
12:40,273.75
12:43,433.41
12:46,48.85
12:49,138.18
12:52,364.18
12:55,469.22
12:58,162.78
13:00,463.25
13:03,197.34
13:06,477.26
13:09,83.93
13:12,24.99
13:15,279.15
13:18,315.30
13:21,438.41
13:23,440.22
13:26,26.15
13:29,14.68
13:32,470.12
13:35,153.30
13:38,98.71
13:41,371.46
13:44,473.25
13:47,124.79
13:49,328.76
13:52,222.31
13:55,458.45
13:58,244.09
14:01,407.38
14:04,184.59
14:07,209.25
14:10,250.81
14:12,71.73
14:15,223.98
14:18,224.23
14:21,208.01
14:24,125.07
14:27,187.94
14:30,324.28
14:33,458.52
14:35,495.99
14:38,414.89
14:41,31.20
14:44,353.29
14:47,179.19
14:50,437.99
14:53,233.35
14:56,129.47
14:59,402.81
15:01,193.81
15:04,465.55
15:07,304.66
15:10,304.17
15:13,125.31
15:16,36.57
15:19,310.62
15:22,196.77
15:24,335.60
15:27,133.97
15:30,122.29
15:33,266.40
15:36,319.73
15:39,460.06
15:42,20.95
15:45,159.17
15:47,421.32
15:50,366.72
15:53,35.52
15:56,244.86
15:59,172.48
16:02,45.45
16:05,176.16
16:08,428.92
16:11,134.18
16:13,457.00
16:16,220.28
16:19,135.38
16:22,277.78
16:25,41.08
16:28,117.32
16:31,221.49
16:34,75.31
