Time,Pressure (10^-12 Pa)
11:06,13
11:08,5
11:11,87
11:14,87
11:17,60
11:20,75
11:23,54
11:26,78
11:29,9
11:31,46
11:34,32
11:37,15
11:40,16
11:43,67
11:46,69
11:49,62
11:52,8
11:54,85
11:57,7
12:00,47
12:03,74
12:06,18
12:09,69
12:12,20
12:15,27
12:18,87
12:20,11
12:23,24
12:26,45
12:29,60
12:32,54
12:35,1
12:38,99
12:41,81
12:43,10
12:46,60
12:49,23
12:52,96
12:55,86
12:58,1
13:01,51
13:04,46
13:06,63
13:09,66
13:12,39
13:15,59
13:18,66
13:21,39
13:24,94
13:27,67
13:30,56
13:32,56
13:35,3
13:38,1
13:41,32
13:44,27
13:47,4
13:50,59
13:53,33
13:55,77
13:58,26
14:01,59
14:04,52
14:07,32
14:10,69
14:13,16
14:16,85
14:18,40
14:21,93
14:24,43
14:27,75
14:30,7
14:33,68
14:36,34
14:39,42
14:42,17
14:44,28
14:47,84
14:50,31
14:53,43
14:56,36
14:59,4
15:02,25
15:05,70
15:07,10
15:10,72
15:13,18
15:16,72
15:19,71
15:22,66
15:25,31
15:28,57
15:30,19
15:33,61
15:36,39
15:39,57
15:42,6
15:45,15
15:48,68
15:51,3
15:54,49
15:56,41
15:59,39
16:02,90
16:05,77
16:08,10
16:11,73
16:14,91
16:17,32
16:19,36
16:22,58
16:25,93
16:28,49
16:31,96
16:34,63
16:37,10
16:40,72
16:42,72
16:45,78
16:48,24
16:51,77
16:54,15
16:57,55
17:00,52
17:03,93
17:06,84
17:08,1
17:11,79
17:14,40
17:17,10
17:20,2
17:23,82
17:26,27
17:29,98
17:31,42
17:34,32
17:37,8
17:40,72
17:43,40
17:46,39
17:49,65
17:52,83
17:54,60
17:57,95
18:00,76
18:03,92
18:06,24
18:09,81
18:12,11
18:15,55
18:18,4
18:20,64
18:23,65
18:26,5
18:29,28
18:32,65
18:35,21
18:38,66
18:41,76
18:43,37
18:46,19
18:49,18
18:52,8
18:55,66
18:58,66
19:01,8
19:04,38
19:06,50
19:09,71
19:12,84
19:15,28
19:18,60
19:21,32
19:24,55
19:27,2
19:30,42
19:32,92
19:35,95
19:38,67
19:41,23
19:44,95
19:47,2
19:50,100
19:53,31
19:55,47
19:58,33
20:01,18
20:04,18
20:07,22
20:10,98
20:13,84
20:16,10
20:18,30
20:21,10
20:24,84
20:27,28
20:30,81
20:33,81
20:36,83
20:39,36
20:42,16
20:44,22
20:47,29
20:50,43
20:53,28
20:56,84
20:59,16
21:02,29
21:05,11
21:07,68
21:10,84
21:13,89
21:16,60
21:19,83
21:22,21
21:25,60
21:28,48
21:30,6
21:33,92
21:36,34
21:39,61
21:42,73
21:45,75
21:48,92
21:51,3
21:54,22
21:56,47
21:59,41
22:02,82
22:05,22
22:08,17
22:11,18
22:14,81
22:17,65
22:19,7
22:22,50
22:25,56
22:28,39
22:31,49
22:34,96
22:37,72
22:40,67
22:42,62
22:45,87
22:48,19
22:51,51
22:54,6
22:57,32
23:00,57
23:03,70
23:06,98
23:08,63
23:11,67
23:14,3
23:17,52
23:20,75
23:23,62
23:26,23
23:29,79
23:31,74
23:34,7
23:37,32
23:40,11
23:43,98
23:46,71
23:49,71
23:52,54
23:54,67
23:57,56
00:00,51
00:03,88
00:06,55
00:09,33
00:12,28
00:15,9
00:18,52
00:20,51
00:23,65
00:26,93
00:29,59
00:32,62
00:35,95
00:38,17
00:41,36
00:43,27
00:46,57
00:49,28
00:52,38
00:55,13
00:58,29
01:01,93
01:04,72
01:06,2
01:09,14
01:12,66
01:15,14
01:18,32
01:21,47
01:24,71
01:27,31
01:30,77
01:32,55
01:35,76
01:38,5
01:41,78
01:44,28
01:47,86
01:50,95
01:53,94
01:55,62
01:58,65
02:01,47
02:04,94
02:07,82
02:10,87
02:13,52
02:16,46
02:18,33
02:21,92
02:24,33
02:27,38
02:30,58
02:33,54
02:36,61
02:39,55
02:42,76
02:44,42
02:47,92
02:50,20
02:53,39
02:56,29
02:59,82
03:02,86
03:05,50
03:07,45
03:10,100
03:13,46
03:16,65
03:19,64
03:22,67
03:25,3
03:28,89
03:30,48
03:33,11
03:36,12
03:39,22
03:42,20
03:45,52
03:48,24
03:51,9
03:54,72
03:56,6
03:59,73
04:02,70
04:05,61
04:08,61
04:11,38
04:14,59
04:17,55
04:19,25
04:22,91
04:25,19
04:28,24
04:31,96
