Time,Band_380nm,Band_424nm,Band_468nm,Band_513nm,Band_557nm,Band_602nm,Band_646nm,Band_691nm,Band_735nm,Band_780nm
10:11,458.9,693.2,472.7,323.6,503.2,64.3,807.3,621.2,946.5,108.4
10:13,793.5,423.7,149.0,400.3,226.3,726.2,430.2,138.5,42.1,623.6
10:16,501.8,558.5,171.4,96.2,545.4,348.7,411.5,2.1,522.1,317.7
10:19,180.9,111.7,137.8,373.4,914.7,288.7,880.8,236.0,612.0,856.3
10:22,32.4,39.3,278.8,321.4,581.8,319.7,906.3,125.4,566.3,979.3
10:25,696.7,486.2,549.8,982.1,149.3,892.2,145.2,11.3,112.0,20.3
10:28,850.0,171.8,468.9,68.9,961.4,243.8,484.0,878.7,858.0,890.6
10:31,298.7,875.3,988.4,277.9,89.7,783.9,914.1,178.2,71.2,1.8
10:34,478.9,416.8,208.1,497.6,514.0,898.9,991.6,30.8,420.3,763.3
10:36,588.9,50.0,48.8,162.2,872.1,432.7,923.7,112.5,819.9,433.5
10:39,479.7,705.8,292.0,756.2,543.2,988.3,804.1,149.6,81.8,653.1
10:42,981.1,761.1,60.0,805.0,958.9,374.2,205.8,866.0,26.1,100.9
10:45,839.5,772.8,600.8,625.4,811.3,380.3,382.9,888.5,272.3,159.5
10:48,361.9,84.5,343.1,601.0,727.2,512.7,455.2,133.0,817.7,262.7
10:51,831.4,545.3,293.6,552.3,460.0,523.1,873.7,283.1,901.7,636.7
10:54,853.1,232.8,567.2,821.2,150.3,639.8,238.3,333.3,262.0,693.5
10:57,506.9,252.2,908.0,569.7,671.3,840.4,562.5,911.3,700.7,832.3
10:59,970.4,961.5,201.1,450.0,534.6,373.3,663.2,52.2,622.1,106.7
11:02,311.0,578.9,204.8,142.0,209.9,809.5,559.4,681.9,62.7,443.1
11:05,252.0,729.5,912.4,900.7,432.1,520.1,605.8,493.7,631.0,195.9
11:08,738.1,800.5,340.4,444.4,302.0,201.0,212.6,695.6,319.1,866.4
11:11,766.6,430.9,853.5,356.2,714.2,717.8,146.5,662.9,327.9,59.7
11:14,181.3,73.4,330.9,69.6,564.8,629.6,47.6,725.3,437.2,311.5
11:17,166.0,810.3,953.3,626.4,895.6,308.5,531.4,505.1,426.2,32.7
11:20,544.7,364.6,930.7,749.5,838.8,600.7,854.7,541.7,509.0,383.4
11:23,56.4,151.5,558.7,845.2,596.2,256.6,651.1,281.0,877.2,485.6
11:25,465.1,430.9,228.8,612.3,692.0,110.5,95.0,30.2,793.4,888.3
11:28,429.0,961.6,760.8,52.7,78.0,580.2,220.9,979.0,513.1,940.9
11:31,47.5,630.7,491.0,796.8,387.9,514.7,99.0,483.1,810.5,744.6
11:34,925.4,992.5,237.3,771.5,457.3,190.7,253.5,79.5,692.0,725.4
11:37,375.3,294.8,599.6,611.3,980.7,471.7,275.1,629.0,843.1,706.8
11:40,180.5,943.0,597.0,215.6,444.7,237.4,868.3,914.0,571.3,335.9
11:43,545.6,947.6,875.4,264.0,153.6,721.6,895.3,101.7,579.3,951.7
11:46,522.1,76.4,459.9,348.2,12.1,931.1,599.2,369.9,439.2,215.7
